epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16325,2.3078,2.88277,1.94942,0.29075,0.33333,0.23638,0.10873,1.96293,5.12239,1.75635,0.00016,0.00016,0.00016
2,9.31371,1.75938,1.62347,1.51783,0.57425,0.52405,0.54762,0.28321,1.74442,4.28505,1.46862,0.000331585,0.000331585,0.000331585
3,13.4483,1.66861,1.31165,1.35105,0.54606,0.58591,0.53368,0.2531,1.874,1.89444,1.544,0.00049426,0.00049426,0.00049426
4,16.5334,1.68028,1.28101,1.34012,0.58326,0.50741,0.54321,0.27049,1.87064,1.77754,1.51598,0.000648025,0.000648025,0.000648025
5,19.4759,1.64558,1.22755,1.35047,0.58429,0.53855,0.54978,0.2629,1.99108,2.51095,1.63371,0.00079288,0.00079288,0.00079288
6,22.2523,1.67978,1.21582,1.34567,0.57021,0.48797,0.51969,0.24601,2.00152,3.84513,1.67921,0.000928825,0.000928825,0.000928825
7,25.871,1.66547,1.2417,1.35892,0.50019,0.51242,0.45404,0.21505,1.99689,2.56741,1.64781,0.00105586,0.00105586,0.00105586
8,28.9635,1.62142,1.14441,1.30762,0.66141,0.49005,0.55106,0.28235,1.84644,1.69724,1.58992,0.00117399,0.00117399,0.00117399
9,31.8267,1.64904,1.17877,1.31649,0.5718,0.59622,0.59053,0.29409,1.81287,2.42796,1.56737,0.0012832,0.0012832,0.0012832
10,34.5379,1.60502,1.11662,1.28355,0.65651,0.56357,0.60873,0.29712,1.80733,1.5281,1.55385,0.00138351,0.00138351,0.00138351
11,37.9715,1.57597,1.07797,1.29617,0.68394,0.57388,0.59985,0.31351,1.80531,1.38346,1.58231,0.0014749,0.0014749,0.0014749
12,41.2415,1.56923,1.01137,1.27241,0.53387,0.5189,0.48708,0.21122,1.93922,2.16039,1.64469,0.0014555,0.0014555,0.0014555
13,43.9913,1.51556,1.00653,1.23423,0.64016,0.59107,0.62945,0.31289,1.87205,1.62248,1.59847,0.001406,0.001406,0.001406
14,46.9605,1.5418,1.04427,1.26829,0.64538,0.60825,0.61551,0.30245,1.82586,1.58209,1.54466,0.0013565,0.0013565,0.0013565
15,50.1436,1.57744,0.99553,1.26521,0.56242,0.53608,0.52589,0.25454,1.94732,1.96543,1.59986,0.001307,0.001307,0.001307
16,53.6031,1.55214,0.99727,1.2653,0.63048,0.55407,0.5977,0.29929,1.82767,1.32248,1.51606,0.0012575,0.0012575,0.0012575
17,56.2929,1.48793,1.00589,1.22857,0.62967,0.54467,0.57327,0.27733,1.95675,1.43488,1.63748,0.001208,0.001208,0.001208
18,58.9661,1.51192,0.98397,1.27427,0.69544,0.54983,0.62983,0.30692,1.85965,1.27086,1.59084,0.0011585,0.0011585,0.0011585
19,61.7716,1.46304,0.93922,1.21142,0.65249,0.55842,0.60205,0.3039,1.8629,1.25383,1.53529,0.001109,0.001109,0.001109
20,65.5267,1.48884,0.92268,1.19734,0.65575,0.59569,0.62037,0.31059,1.84655,1.2683,1.54011,0.0010595,0.0010595,0.0010595
21,68.332,1.50761,0.95387,1.23505,0.68795,0.60309,0.65371,0.34104,1.75184,1.18686,1.43006,0.00101,0.00101,0.00101
22,71.2141,1.4938,0.97983,1.23319,0.70659,0.59794,0.6395,0.33537,1.79272,1.30062,1.45316,0.0009605,0.0009605,0.0009605
